SigAgente;IdeConjUndConsumidoras;DscConjUndConsumidoras;Região
AME;12581;MÉDIO E BAIXO AMAZONAS;Sul
AME;12582;PURUS E MADEIRA;Sul
AME;12583;MÉDIO SOLIMÕES E JURUÁ;Sul
AME;12584;ALTO SOLIMÕES;Sul
AME;12585;RIO NEGRO E BAIXO SOLIMÕES;Sul
AME;13002;APARECIDA;Sul
AME;13004;CIDADE NOVA;Sul
AME;13006;DISTRITO INDUSTRIAL II;Sul
AME;13007;FLORES;Sul
AME;13008;MAUÁ;Sul
AME;13009;PONTA NEGRA;Sul
AME;13010;REDENÇÃO;Sul
AME;13011;SANTO ANTÔNIO;Sul
AME;13012;SÃO JOSÉ;Sul
AME;13013;SERINGAL MIRIM;Sul
AME;13014;V 8;Sul
AME;15798;MARAPATÁ;Sul
AME;15799;CACHOEIRINHA;Sul
AME;15800;DISTRITO INDUSTRIAL I;Sul
AME;17366;V 8;Sul
AME;17367;SERINGAL MIRIM;Sul
AME;17368;SANTO ANTONIO;Sul
AME;17369;SAO JOSE;Sul
AME;17370;SANTA ETELVINA;Sul
AME;17371;RIO PRETO DA EVA;Sul
AME;17372;RIO NEGRO;Sul
AME;17373;REDENCAO;Sul
AME;17374;PONTA NEGRA;Sul
AME;17375;MUTIRAO;Sul
AME;17376;MEDIO SOLIMOES E JURUA;Sul
AME;17377;MEDIO AMAZONAS;Sul
AME;17378;MARAPATA;Sul
AME;17379;JOAO PAULO;Sul
AME;17380;JARAQUI;Sul
AME;17381;FLORES;Sul
AME;17382;DISTRITO INDUSTRIAL III;Sul
AME;17383;DISTRITO INDUSTRIAL II;Sul
AME;17384;DISTRITO INDUSTRIAL I;Sul
AME;17385;COMPENSA;Sul
AME;17386;COARI;Sul
AME;17387;CIDADE NOVA;Sul
AME;17388;CENTRO;Sul
AME;17389;CACHOEIRINHA;Sul
AME;17390;CACHOEIRA GRANDE;Sul
AME;17391;BAIXO SOLIMOES;Sul
AME;17392;BAIXO AMAZONAS;Sul
AME;17393;APARECIDA;Sul
BOA VISTA;12727;CENTRO;Norte
BOA VISTA;12729;FLORESTA;Norte
BOA VISTA;12731;DISTRITO;Norte
BOA VISTA;16103;ALTO ALEGRE;Norte
BOA VISTA;16104;AMAJARI;Norte
BOA VISTA;16105;BONFIM;Norte
BOA VISTA;16106;CANTA;Norte
BOA VISTA;16107;CARACARAI;Norte
BOA VISTA;16108;CAROEBE;Norte
BOA VISTA;16109;IRACEMA;Norte
BOA VISTA;16110;MUCAJAI;Norte
BOA VISTA;16111;NORMANDIA;Norte
BOA VISTA;16112;PACARAIMA;Norte
BOA VISTA;16113;RORAINOPOLIS;Norte
BOA VISTA;16114;SAO JOAO DA BALIZA;Norte
BOA VISTA;16115;SAO LUIS DO ANAUA;Norte
BOA VISTA;16116;UIRAMUTA;Norte
BOA VISTA;17354;BALIZA;Norte
BOA VISTA;17355;SATELITE;Norte
BOA VISTA;17356;RORAINOPOLIS;Norte
BOA VISTA;17357;PACARAIMA;Norte
BOA VISTA;17358;MUCAJAI;Norte
BOA VISTA;17359;FLORESTA;Norte
BOA VISTA;17360;EQUATORIAL;Norte
BOA VISTA;17361;DISTRITO;Norte
BOA VISTA;17362;CENTRO;Norte
BOA VISTA;17363;CENTENARIO;Norte
BOA VISTA;17364;CARACARAI;Norte
BOA VISTA;17365;BONFIM;Norte
CASTRO-DIS;16692;CASTRO-DIS;Sul
CEA;14562;SERRA DO NAVIO;Norte
CEA;14563;PORTO GRANDE;Norte
CEA;14564;TARTARUGALZINHO;Norte
CEA;14565;SANTANA;Norte
CEA;14566;SANTA RITA;Norte
CEA;14567;PORTUARIA;Norte
CEA;14568;OIAPOQUE;Norte
CEA;14569;MACAPA II;Norte
CEA;14570;AMAPA;Norte
CEA;14571;CALÇOENE;Norte
CEA;14572;EQUATORIAL;Norte
CEA;14573;JARI;Norte
CEDRAP;12481;CEDRAP;Sul
CEDRI;12638;CEDRI;Sul
CEEE-D;12524;VASCONCELOS;Sul
CEEE-D;12525;CAMAQUÃ;Sul
CEEE-D;12532;CAMAQUÃ 2;Sul
CEEE-D;12535;CAPIVARITA;Sul
CEEE-D;12536;CASSINO;Sul
CEEE-D;12539;DOM PEDRITO;Sul
CEEE-D;12540;ELDORADO DO SUL;Sul
CEEE-D;12541;ENCRUZILHADA;Sul
CEEE-D;12542;GUAIBA;Sul
CEEE-D;12543;JAGUARÃO;Sul
CEEE-D;12546;MOSTARDAS;Sul
CEEE-D;12547;PALMARES DO SUL;Sul
CEEE-D;12548;PEDRO OSÓRIO;Sul
CEEE-D;12553;PINHAL;Sul
CEEE-D;12559;PORTO ALEGRE 16;Sul
